party,office,year,topic,share
R,senate,2012,Economic Planning,0.13375399852056416
R,senate,2014,Economic Planning,0.0710293250405114
R,senate,2016,Economic Planning,0.07140149692834205
R,senate,2018,Economic Planning,0.05927188578572711
R,senate,2020,Economic Planning,0.04152849330699708
R,senate,2022,Economic Planning,0.04694666657714099
R,senate,2024,Economic Planning,0.04342506392165248
D,house,2018,Education,0.07787769428943662
D,house,2020,Education,0.08086609077721829
D,house,2022,Education,0.08158048949642002
D,house,2024,Education,0.0728763845053124
D,senate,2002,Education,0.019878669622878625
D,senate,2004,Education,0.02258337552120155
D,senate,2006,Education,0.03163188553079665
D,senate,2008,Education,0.013587642556394454
D,senate,2010,Education,0.03103521844177098
D,senate,2012,Education,0.03802093422355262
D,senate,2014,Education,0.017802493129112505
D,senate,2016,Education,0.033471967455334754
D,senate,2018,Education,0.05263593890114454
D,senate,2020,Education,0.06220801829856227
D,senate,2022,Education,0.041457132997383975
D,senate,2024,Education,0.02868849208426304
R,house,2018,Education,0.03227317253392704
R,house,2020,Education,0.03631007289262146
R,house,2022,Education,0.03891680738419664
R,house,2024,Education,0.032725371299524526
R,senate,2002,Education,0.0610630941305428
R,senate,2004,Education,0.014759563664422678
R,senate,2006,Education,0.03796363826953358
R,senate,2008,Education,0.019490029583712157
R,senate,2010,Education,0.014407949416989157
R,senate,2012,Education,0.007713635324410145
R,senate,2014,Education,0.016014988716647673
R,senate,2016,Education,0.027980328494664013
R,senate,2018,Education,0.025052643347896905
R,senate,2020,Education,0.01779097155675903
R,senate,2022,Education,0.02841631440179914
R,senate,2024,Education,0.016046123690983686
D,house,2018,Equality,0.06631894028103416
D,house,2020,Equality,0.07578896734019112
D,house,2022,Equality,0.07578305197480502
D,house,2024,Equality,0.08197813287736437
D,senate,2002,Equality,0.03667949379502172
D,senate,2004,Equality,0.024705682421941173
D,senate,2006,Equality,0.015717379133934124
D,senate,2008,Equality,0.020144551969476544
D,senate,2010,Equality,0.028093687902055516
D,senate,2012,Equality,0.0293654521661932
D,senate,2014,Equality,0.03680070358871945
D,senate,2016,Equality,0.059995222374677915
D,senate,2018,Equality,0.04817350039227292
D,senate,2020,Equality,0.07626879232843353
D,senate,2022,Equality,0.059173719598635995
D,senate,2024,Equality,0.05982685136774562
R,house,2018,Equality,0.0309227926784618
R,house,2020,Equality,0.03328003968988743
R,house,2022,Equality,0.03397396434222032
R,house,2024,Equality,0.03421824073485194
R,senate,2002,Equality,0.016479547913091655
R,senate,2004,Equality,0.021243257768492375
R,senate,2006,Equality,0.02311001046322749
R,senate,2008,Equality,0.020335898038420782
R,senate,2010,Equality,0.019691549130901723
R,senate,2012,Equality,0.01699601926076194
R,senate,2014,Equality,0.023974466018895357
R,senate,2016,Equality,0.01804111887145476
R,senate,2018,Equality,0.03202852073669171
R,senate,2020,Equality,0.02466584985651773
R,senate,2022,Equality,0.030564900998762426
R,senate,2024,Equality,0.03668238654030994
D,house,2018,Foreign Special Relationships,0.009186690485986995
D,house,2020,Foreign Special Relationships,0.00761600225246699
D,house,2022,Foreign Special Relationships,0.0080112466497914
D,house,2024,Foreign Special Relationships,0.009518570281455918
D,senate,2002,Foreign Special Relationships,0.00728690847040675
D,senate,2004,Foreign Special Relationships,0.011932258223846373
D,senate,2006,Foreign Special Relationships,0.011375260198192908
D,senate,2008,Foreign Special Relationships,0.027373711642465978
D,senate,2010,Foreign Special Relationships,0.013382858319111278
D,senate,2012,Foreign Special Relationships,0.010662974099041576
D,senate,2014,Foreign Special Relationships,0.00899976819643845
D,senate,2016,Foreign Special Relationships,0.010976989933457824
D,senate,2018,Foreign Special Relationships,0.010890529799680575
D,senate,2020,Foreign Special Relationships,0.011739662020809812
D,senate,2022,Foreign Special Relationships,0.010277495692587062
D,senate,2024,Foreign Special Relationships,0.012681102680878553
R,house,2018,Foreign Special Relationships,0.014761148037039207
R,house,2020,Foreign Special Relationships,0.013013387465005096
R,house,2022,Foreign Special Relationships,0.016049102395112456
R,house,2024,Foreign Special Relationships,0.01665540357171504
R,senate,2002,Foreign Special Relationships,0.021487354516152433
R,senate,2004,Foreign Special Relationships,0.019916655400662623
R,senate,2006,Foreign Special Relationships,0.01930052747760013
R,senate,2008,Foreign Special Relationships,0.015280679260715193
R,senate,2010,Foreign Special Relationships,0.015019773232179075
R,senate,2012,Foreign Special Relationships,0.015373263422524215
R,senate,2014,Foreign Special Relationships,0.019189876360765034
R,senate,2016,Foreign Special Relationships,0.01129799494084125
R,senate,2018,Foreign Special Relationships,0.018352185634418733
R,senate,2020,Foreign Special Relationships,0.013710153650070101
R,senate,2022,Foreign Special Relationships,0.02517607882097845
R,senate,2024,Foreign Special Relationships,0.020647554312838382
D,house,2018,Free Market Economy,0.008304794226916191
D,house,2020,Free Market Economy,0.006077677505820807
D,house,2022,Free Market Economy,0.007041588855371838
D,house,2024,Free Market Economy,0.00686047769449096
D,senate,2002,Free Market Economy,0.01093045427887525
D,senate,2004,Free Market Economy,0.00658019089256038
D,senate,2006,Free Market Economy,0.004781733296716417
D,senate,2008,Free Market Economy,0.00726866726656079
D,senate,2010,Free Market Economy,0.011679466645522177
D,senate,2012,Free Market Economy,0.01053831497242619
D,senate,2014,Free Market Economy,0.010363999147594755
D,senate,2016,Free Market Economy,0.007075875273242553
D,senate,2018,Free Market Economy,0.010475669399141387
D,senate,2020,Free Market Economy,0.0058915127006721356
D,senate,2022,Free Market Economy,0.007547636573178252
D,senate,2024,Free Market Economy,0.00791164118885301
R,house,2018,Free Market Economy,0.014714641631979252
R,house,2020,Free Market Economy,0.011775924670059678
R,house,2022,Free Market Economy,0.011408527385507034
R,house,2024,Free Market Economy,0.011455312484945504
R,senate,2002,Free Market Economy,0.0026409647252362556
R,senate,2004,Free Market Economy,0.012244275374918626
R,senate,2006,Free Market Economy,0.010703080949600994
R,senate,2008,Free Market Economy,0.009457455518393016
R,senate,2010,Free Market Economy,0.011575650496436572
R,senate,2012,Free Market Economy,0.011553583055859129
R,senate,2014,Free Market Economy,0.010890631943219353
R,senate,2016,Free Market Economy,0.008882112716442242
R,senate,2018,Free Market Economy,0.012189900019881352
R,senate,2020,Free Market Economy,0.007664397299041484
R,senate,2022,Free Market Economy,0.008549356326411458
R,senate,2024,Free Market Economy,0.012533093408771314
D,house,2018,Freedom and Human Rights,0.018926217971386727
D,house,2020,Freedom and Human Rights,0.020273770422583073
D,house,2022,Freedom and Human Rights,0.024145409371108154
D,house,2024,Freedom and Human Rights,0.04125562627753866
D,senate,2002,Freedom and Human Rights,0.015918483567261325
D,senate,2004,Freedom and Human Rights,0.015668281590478703
D,senate,2006,Freedom and Human Rights,0.019518256405494323
D,senate,2008,Freedom and Human Rights,0.01123786705841209
D,senate,2010,Freedom and Human Rights,0.018321114553303954
D,senate,2012,Freedom and Human Rights,0.018766215944257297
D,senate,2014,Freedom and Human Rights,0.037911985736829024
D,senate,2016,Freedom and Human Rights,0.03500070826533603
D,senate,2018,Freedom and Human Rights,0.027239645169520103
D,senate,2020,Freedom and Human Rights,0.02224410536820061
D,senate,2022,Freedom and Human Rights,0.04322748642875958
D,senate,2024,Freedom and Human Rights,0.05708214329776784
R,house,2018,Freedom and Human Rights,0.029353123510747793
R,house,2020,Freedom and Human Rights,0.037879941926185066
R,house,2022,Freedom and Human Rights,0.04971678279260409
R,house,2024,Freedom and Human Rights,0.07226788426689923
R,senate,2002,Freedom and Human Rights,0.009901815478899822
R,senate,2004,Freedom and Human Rights,0.0338669370580181
R,senate,2006,Freedom and Human Rights,0.04103143147780954
R,senate,2008,Freedom and Human Rights,0.024849786531565724
R,senate,2010,Freedom and Human Rights,0.02622809853850777
R,senate,2012,Freedom and Human Rights,0.03391133363881178
R,senate,2014,Freedom and Human Rights,0.026108837322783747
R,senate,2016,Freedom and Human Rights,0.04056735536146817
R,senate,2018,Freedom and Human Rights,0.03883054570723089
R,senate,2020,Freedom and Human Rights,0.0580255460594159
R,senate,2022,Freedom and Human Rights,0.06287959427865487
R,senate,2024,Freedom and Human Rights,0.0892408836492222
D,house,2018,Governmental and Administrative Efficiency,0.0140678177763205
D,house,2020,Governmental and Administrative Efficiency,0.012560026836340901
D,house,2022,Governmental and Administrative Efficiency,0.012895240383696245
D,house,2024,Governmental and Administrative Efficiency,0.013520103917959976
D,senate,2002,Governmental and Administrative Efficiency,0.027944985759895152
D,senate,2004,Governmental and Administrative Efficiency,0.022769374754967885
D,senate,2006,Governmental and Administrative Efficiency,0.02484600237370069
D,senate,2008,Governmental and Administrative Efficiency,0.013900373267774963
D,senate,2010,Governmental and Administrative Efficiency,0.019403114320379184
D,senate,2012,Governmental and Administrative Efficiency,0.02095754774648339
D,senate,2014,Governmental and Administrative Efficiency,0.017802658355099837
D,senate,2016,Governmental and Administrative Efficiency,0.017107552444677068
D,senate,2018,Governmental and Administrative Efficiency,0.014358041637737538
D,senate,2020,Governmental and Administrative Efficiency,0.008291634301669293
D,senate,2022,Governmental and Administrative Efficiency,0.012902016176524105
D,senate,2024,Governmental and Administrative Efficiency,0.01777538685855925
R,house,2018,Governmental and Administrative Efficiency,0.034594817959628835
R,house,2020,Governmental and Administrative Efficiency,0.024506741328259276
R,house,2022,Governmental and Administrative Efficiency,0.020924207907150088
R,house,2024,Governmental and Administrative Efficiency,0.023817536202585837
R,senate,2002,Governmental and Administrative Efficiency,0.021882374337388644
R,senate,2004,Governmental and Administrative Efficiency,0.02304579777509784
R,senate,2006,Governmental and Administrative Efficiency,0.03397123852945453
R,senate,2008,Governmental and Administrative Efficiency,0.030840309853261468
R,senate,2010,Governmental and Administrative Efficiency,0.036262597579864775
R,senate,2012,Governmental and Administrative Efficiency,0.03566883841212007
R,senate,2014,Governmental and Administrative Efficiency,0.030505440364431594
R,senate,2016,Governmental and Administrative Efficiency,0.03764782769439605
R,senate,2018,Governmental and Administrative Efficiency,0.02176499809347317
R,senate,2020,Governmental and Administrative Efficiency,0.018850328847070046
R,senate,2022,Governmental and Administrative Efficiency,0.021313643481597654
R,senate,2024,Governmental and Administrative Efficiency,0.024368157460684572
D,house,2018,Incentives,0.031234281672618183
D,house,2020,Incentives,0.03155795732097716
D,house,2022,Incentives,0.029329811482496467
D,house,2024,Incentives,0.027079646802391263
D,senate,2002,Incentives,0.22363581521533793
D,senate,2004,Incentives,0.04116681514292756
D,senate,2006,Incentives,0.034095491846632395
D,senate,2008,Incentives,0.042122516152740146
D,senate,2010,Incentives,0.07412780216820884
D,senate,2012,Incentives,0.07899076669893797
D,senate,2014,Incentives,0.05036136481025336
D,senate,2016,Incentives,0.038020815187167246
D,senate,2018,Incentives,0.03965346962228852
D,senate,2020,Incentives,0.02876443978622047
D,senate,2022,Incentives,0.028780076894039597
D,senate,2024,Incentives,0.024892911480764845
R,house,2018,Incentives,0.051928045732508026
R,house,2020,Incentives,0.04590415843002686
R,house,2022,Incentives,0.03327675092621623
R,house,2024,Incentives,0.03130763388572679
R,senate,2002,Incentives,0.0168722364210653
R,senate,2004,Incentives,0.06130443281972893
R,senate,2006,Incentives,0.03316822979634582
R,senate,2008,Incentives,0.04959147884904423
R,senate,2010,Incentives,0.06803757594392554
R,senate,2012,Incentives,0.049543556882779005
R,senate,2014,Incentives,0.04326042112981125
R,senate,2016,Incentives,0.04556091562190414
R,senate,2018,Incentives,0.04102127620939481
R,senate,2020,Incentives,0.028331503364752215
R,senate,2022,Incentives,0.02831062174270727
R,senate,2024,Incentives,0.024867973267191878
D,house,2018,Internationalism,0.01215710956088465
D,house,2020,Internationalism,0.010966618450412031
D,house,2022,Internationalism,0.010935812376452225
D,house,2024,Internationalism,0.010742848158062809
D,senate,2002,Internationalism,0.029640948465936175
D,senate,2004,Internationalism,0.02728359620338047
D,senate,2006,Internationalism,0.014000633766848295
D,senate,2008,Internationalism,0.02388706340040648
D,senate,2010,Internationalism,0.02264323393628589
D,senate,2012,Internationalism,0.020803607298059277
D,senate,2014,Internationalism,0.01887015602751126
D,senate,2016,Internationalism,0.019257542242026398
D,senate,2018,Internationalism,0.01668642890698968
D,senate,2020,Internationalism,0.01913736766446827
D,senate,2022,Internationalism,0.017236943433719187
D,senate,2024,Internationalism,0.02223588090056968
R,house,2018,Internationalism,0.013946745592787205
R,house,2020,Internationalism,0.012401918762016125
R,house,2022,Internationalism,0.014474962639375555
R,house,2024,Internationalism,0.014829569629400375
R,senate,2002,Internationalism,0.0262753644770803
R,senate,2004,Internationalism,0.03067911383305115
R,senate,2006,Internationalism,0.025076908255705924
R,senate,2008,Internationalism,0.0217848212622642
R,senate,2010,Internationalism,0.022611940780913442
R,senate,2012,Internationalism,0.01828529249267551
R,senate,2014,Internationalism,0.022623702017915834
R,senate,2016,Internationalism,0.01981315108093789
R,senate,2018,Internationalism,0.02567297234575481
R,senate,2020,Internationalism,0.01699383867373345
R,senate,2022,Internationalism,0.024544873505661785
R,senate,2024,Internationalism,0.023844912453567405
D,house,2018,Labour Groups,0.06839129194779124
D,house,2020,Labour Groups,0.05246617548726188
D,house,2022,Labour Groups,0.053928215379828455
D,house,2024,Labour Groups,0.05070708237288289
D,senate,2002,Labour Groups,0.017312504868345475
D,senate,2004,Labour Groups,0.038066507619267255
D,senate,2006,Labour Groups,0.027142552453142198
D,senate,2008,Labour Groups,0.04975445506327858
D,senate,2010,Labour Groups,0.04940585681475441
D,senate,2012,Labour Groups,0.06407501383491324
D,senate,2014,Labour Groups,0.08435362937956219
D,senate,2016,Labour Groups,0.05390075942808463
D,senate,2018,Labour Groups,0.06057206209755061
D,senate,2020,Labour Groups,0.05863149960820869
D,senate,2022,Labour Groups,0.05579257821601586
D,senate,2024,Labour Groups,0.04044912871463988
R,house,2018,Labour Groups,0.03410916944389461
R,house,2020,Labour Groups,0.0310321571363309
R,house,2022,Labour Groups,0.02449683698933342
R,house,2024,Labour Groups,0.019781192073542238
R,senate,2002,Labour Groups,0.032020988973505936
R,senate,2004,Labour Groups,0.01678745882356715
R,senate,2006,Labour Groups,0.0172013201540274
R,senate,2008,Labour Groups,0.02066666648294718
R,senate,2010,Labour Groups,0.027931434638716987
R,senate,2012,Labour Groups,0.029383890965735047
R,senate,2014,Labour Groups,0.0258703842819957
R,senate,2016,Labour Groups,0.02845316621756321
R,senate,2018,Labour Groups,0.026743919779595657
R,senate,2020,Labour Groups,0.036818874351580724
R,senate,2022,Labour Groups,0.019812799163419804
R,senate,2024,Labour Groups,0.015329131194335033
D,house,2018,Law and Order,0.037109749639089196
D,house,2020,Law and Order,0.03414117701187855
D,house,2022,Law and Order,0.040864997129530664
D,house,2024,Law and Order,0.049357563364210974
D,senate,2002,Law and Order,0.08041659725280532
D,senate,2004,Law and Order,0.04092505152920194
D,senate,2006,Law and Order,0.027585702871179386
D,senate,2008,Law and Order,0.02730624373348957
D,senate,2010,Law and Order,0.04410735047759174
D,senate,2012,Law and Order,0.04066599695561612
D,senate,2014,Law and Order,0.03275613970389127
D,senate,2016,Law and Order,0.042691474717047095
D,senate,2018,Law and Order,0.03614329983371917
D,senate,2020,Law and Order,0.03863835196506448
D,senate,2022,Law and Order,0.05482674424650172
D,senate,2024,Law and Order,0.06740045184122083
R,house,2018,Law and Order,0.047509502807263355
R,house,2020,Law and Order,0.05295684024070199
R,house,2022,Law and Order,0.06470994283515646
R,house,2024,Law and Order,0.07842568488558854
R,senate,2002,Law and Order,0.05059395049440915
R,senate,2004,Law and Order,0.06832502104009378
R,senate,2006,Law and Order,0.1151021888227344
R,senate,2008,Law and Order,0.04571850114901638
R,senate,2010,Law and Order,0.029895057331681282
R,senate,2012,Law and Order,0.031105791920955125
R,senate,2014,Law and Order,0.03307141820046847
R,senate,2016,Law and Order,0.046544574638584794
R,senate,2018,Law and Order,0.052617183288291645
R,senate,2020,Law and Order,0.0544254655135092
R,senate,2022,Law and Order,0.05729959941268582
R,senate,2024,Law and Order,0.09634297048220708
D,house,2018,Market Regulation,0.01917117788288078
D,house,2020,Market Regulation,0.018428353535417875
D,house,2022,Market Regulation,0.017182169725207648
D,house,2024,Market Regulation,0.01742407744247884
D,senate,2002,Market Regulation,0.0167533229337682
D,senate,2004,Market Regulation,0.011464840748430962
D,senate,2006,Market Regulation,0.013763681317481655
D,senate,2008,Market Regulation,0.014858836754008488
D,senate,2010,Market Regulation,0.023897581764908624
D,senate,2012,Market Regulation,0.019096573410571735
D,senate,2014,Market Regulation,0.025049758031819972
D,senate,2016,Market Regulation,0.026216500154931217
D,senate,2018,Market Regulation,0.03685194477390033
D,senate,2020,Market Regulation,0.018211898140497212
D,senate,2022,Market Regulation,0.02389772404025304
D,senate,2024,Market Regulation,0.021407990475613252
R,house,2018,Market Regulation,0.014387779952481822
R,house,2020,Market Regulation,0.013753226465030468
R,house,2022,Market Regulation,0.012683767322013005
R,house,2024,Market Regulation,0.01208811695371399
R,senate,2002,Market Regulation,0.003863741434195855
R,senate,2004,Market Regulation,0.012620973822761583
R,senate,2006,Market Regulation,0.013866226073278316
R,senate,2008,Market Regulation,0.011630570972785796
R,senate,2010,Market Regulation,0.0191644859055768
R,senate,2012,Market Regulation,0.011548844157591404
R,senate,2014,Market Regulation,0.020407636567711714
R,senate,2016,Market Regulation,0.00980367416790688
R,senate,2018,Market Regulation,0.01512189582019233
R,senate,2020,Market Regulation,0.018963230131335784
R,senate,2022,Market Regulation,0.010354272188734878
R,senate,2024,Market Regulation,0.013210376067592936
D,house,2018,Military,0.030845497093574273
